"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Pineapple","....Bulacan",95.00,420.00,950.00,930.00,850.00,660.00,563.05,300.00,270.00,280.00,360.00,300.00,160.00,200.00,250.00,125.00,300.00,335.00,368.00,406.00,410.00,426.00,442.00,460.00,470.00,507.00,509.00,509.85,511.80
"Pineapple","....Nueva Ecija",..,..,..,..,..,..,..,..,..,..,..,2.50,1.50,1.40,1.45,1.57,1.50,2.00,2.00,2.00,2.00,1.97,1.93,1.90,1.85,1.80,1.77,..,..
"Pineapple","....Pampanga",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pineapple","....Tarlac",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pineapple","....Zambales",..,..,..,..,..,..,..,..,140.00,250.00,340.00,400.00,400.00,90.02,80.00,72.00,70.50,68.50,72.00,70.14,85.50,77.10,76.00,51.00,51.25,50.71,53.56,41.26,38.45
"Pineapple","..REGION IV-A (CALABARZON)",40736.20,62107.16,66117.84,65349.22,67477.21,65659.92,71275.02,68305.71,66200.33,69249.30,67388.08,74812.08,79914.91,84883.60,81578.28,80871.19,82459.34,84048.52,86168.15,88375.07,87561.18,86178.21,86388.55,88238.66,85448.05,88659.84,92514.29,97696.25,94033.69
"Pineapple","....Batangas",117.80,114.00,110.00,109.00,111.18,112.85,116.75,116.23,88.39,84.81,77.81,70.17,73.46,73.86,74.67,65.95,59.95,33.23,57.03,51.30,56.50,68.50,62.00,45.00,38.00,54.00,57.93,106.05,102.25
"Pineapple","....Cavite",30956.16,51185.90,54838.08,53946.19,55168.57,52722.48,58100.07,55673.53,54017.48,56718.35,54843.41,60118.71,65328.00,70250.54,68336.72,68615.85,69611.65,71410.86,72807.63,73543.91,72621.03,71557.55,71600.00,73408.00,71601.17,70552.18,75056.97,80005.94,77250.17
"Pineapple","....Laguna",7236.46,8616.58,8568.38,8539.31,9376.85,9993.80,10394.60,10181.80,10006.32,10438.90,10077.93,11951.11,11643.05,11867.65,10468.23,10423.64,11340.74,11096.86,12018.18,13568.08,13666.37,13527.80,13650.18,13645.50,12669.54,15396.11,15003.60,15364.67,14656.45
"Pineapple","....Quezon",1725.78,1495.68,1635.38,1742.22,1742.22,1725.78,1643.60,1438.15,1438.15,1479.24,1925.19,2141.62,2358.47,2172.45,2173.83,1253.50,1041.00,1037.25,727.80,665.25,697.28,490.36,537.37,597.16,626.34,2156.37,1951.68,1803.94,1614.34
"Pineapple","....Rizal",700.00,695.00,966.00,1012.50,1078.40,1105.00,1020.00,896.00,650.00,528.00,463.75,530.48,511.93,519.10,524.83,512.25,406.00,470.32,557.51,546.53,520.00,534.00,539.00,543.00,513.00,501.18,444.11,415.65,410.48
"Pineapple","..MIMAROPA REGION",250.20,261.37,272.80,255.62,160.24,156.79,198.29,200.67,187.85,163.81,179.86,199.00,195.75,191.33,192.39,188.31,187.82,188.48,222.68,233.49,252.35,295.37,326.39,364.20,404.11,447.99,551.83,579.57,587.84
"Pineapple","....Marinduque",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pineapple","....Occidental Mindoro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pineapple","....Oriental Mindoro",140.00,160.00,184.00,168.00,72.00,68.00,104.00,110.40,100.80,72.00,69.70,67.60,68.07,65.65,63.93,60.10,56.48,57.21,56.20,49.72,53.18,53.47,55.35,71.45,71.02,81.88,72.49,73.35,71.59
"Pineapple","....Palawan",28.00,42.00,33.80,33.12,33.20,33.20,35.23,33.31,32.36,33.50,48.25,49.70,52.45,53.84,57.12,57.65,58.81,61.50,94.87,109.67,123.47,162.24,189.00,207.96,244.44,276.95,386.22,425.97,439.88
