"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","....Oriental Mindoro",47.00,49.00,60.00,80.00,82.00,52.00,58.00,50.00,32.00,49.00,41.30,38.83,32.10,26.35,28.70,49.77,56.06,55.19,55.16,56.56,62.56,67.56,72.65,75.92,89.74,79.64,66.16,71.31,80.25
"Abaca","....Palawan",..,..,..,..,..,..,..,..,..,..,..,..,1.20,3.88,3.30,2.48,4.89,8.40,10.27,14.02,10.55,17.54,29.85,41.40,57.00,31.38,37.87,43.62,40.10
"Abaca","....Romblon",..,..,..,..,..,..,..,..,..,..,..,..,0.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION V (BICOL REGION)",16681.00,21905.83,23283.00,20296.83,22956.00,22294.00,24442.00,18651.00,22007.00,19909.90,21432.32,20086.14,17942.14,20243.00,21946.60,19933.61,20327.58,17144.52,18363.17,18832.55,20264.12,22645.48,23086.11,24077.96,28950.59,29561.07,30016.45,26196.22,28811.64
"Abaca","....Albay",1562.00,960.00,617.00,546.00,3192.00,2170.00,1941.00,1555.00,1924.00,1795.90,1755.02,1168.39,589.34,1297.87,1496.70,1533.04,1482.25,1377.54,1404.64,1407.06,1473.06,1440.28,1515.64,1617.26,1368.07,1365.16,1478.28,1354.45,1408.11
"Abaca","....Camarines Norte",..,20.00,73.00,161.00,52.00,7.00,2.00,12.00,17.00,5.10,6.65,6.55,41.29,67.36,46.75,137.03,127.39,155.21,188.00,160.29,121.00,113.00,115.50,119.85,122.96,127.10,139.15,142.98,133.70
"Abaca","....Camarines Sur",2318.00,2610.00,2300.00,2545.00,2775.00,2131.00,2068.00,2291.00,1905.00,2112.00,2423.35,2266.29,781.61,1464.01,921.84,661.00,445.51,273.35,390.39,370.24,391.53,792.07,908.90,911.91,856.36,841.23,897.42,809.73,794.07
"Abaca","....Catanduanes",8710.00,11338.83,13233.00,11042.83,12728.00,12959.00,13931.00,10458.00,13325.00,11073.10,12406.05,11307.06,14766.25,15201.76,17246.47,15160.04,16136.45,13615.41,14506.40,15141.08,16461.36,18518.94,19044.99,20092.34,25434.61,26418.96,26864.22,23271.78,25846.85
"Abaca","....Masbate",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Sorsogon",4091.00,6977.00,7060.00,6002.00,4209.00,5027.00,6500.00,4335.00,4836.00,4923.80,4841.25,5337.85,1763.65,2212.00,2234.84,2442.50,2135.98,1723.01,1873.74,1753.88,1817.17,1781.19,1501.08,1336.60,1168.59,808.62,637.38,617.29,628.91
