"Palay:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by PHILIPPINES, Area Harvested and Year"

"PHILIPPINES","Area Harvested","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"..MIMAROPA REGION","Area Applied",230516.00,205500.48,203271.76,232626.00,231433.00,225841.00,260421.00,231526.00,256581.00,277794.00,278890.00,268143.00
"..MIMAROPA REGION","Average Quantity Applied",3.52,3.79,3.97,5.23,5.07,3.88,4.96,4.17,4.88,5.08,5.00,5.22
"..MIMAROPA REGION","Urea",1.77,1.81,1.78,1.96,2.06,1.63,2.37,2.05,2.43,2.51,2.26,2.33
"..MIMAROPA REGION","Ammosul",0.27,0.39,0.39,0.40,0.44,0.42,0.49,0.35,0.35,0.38,0.40,0.38
"..MIMAROPA REGION","Ammophos",0.23,0.30,0.32,0.85,0.67,0.22,0.44,0.36,0.40,0.33,0.50,0.54
"..MIMAROPA REGION","Complete",1.23,1.27,1.45,1.96,1.75,1.60,1.66,1.41,1.70,1.86,1.84,1.97
"..MIMAROPA REGION","Others",0.02,0.02,0.03,0.06,0.14,..,..,..,..,..,..,..
"..MIMAROPA REGION","Area Harvested",254675.00,242619.00,230807.00,238395.00,247803.00,254403.00,271901.00,262384.00,270751.00,280748.00,282956.00,280920.00
"..REGION V (BICOL REGION)","Area Applied",223739.00,242208.89,247781.21,243614.00,238009.00,270417.00,281663.00,284830.00,309117.00,333550.00,303102.69,317899.38
"..REGION V (BICOL REGION)","Average Quantity Applied",3.62,3.68,3.60,3.01,3.38,3.08,3.46,3.17,2.99,3.45,3.44,3.55
"..REGION V (BICOL REGION)","Urea",1.88,1.97,1.89,1.59,1.81,1.70,1.88,1.74,1.58,1.69,1.67,1.70
"..REGION V (BICOL REGION)","Ammosul",0.10,0.09,0.15,0.10,0.16,0.13,0.04,0.08,0.05,0.10,0.01,0.01
"..REGION V (BICOL REGION)","Ammophos",0.21,0.27,0.37,0.15,0.15,0.22,0.31,0.23,0.27,0.27,0.29,0.32
"..REGION V (BICOL REGION)","Complete",1.30,1.28,1.07,1.13,1.21,1.02,1.23,1.12,1.08,1.39,1.47,1.53
"..REGION V (BICOL REGION)","Others",0.14,0.06,0.11,0.04,0.05,..,..,..,..,..,..,..
"..REGION V (BICOL REGION)","Area Harvested",277136.00,300430.00,304549.00,281483.00,286374.00,290718.00,313602.00,316804.00,318361.00,334275.00,343199.00,329573.00
"..REGION VI (WESTERN VISAYAS)","Area Applied",567884.00,589686.08,571012.63,590138.79,587209.00,549672.00,651435.00,536933.00,646254.00,632124.00,606930.05,616654.00
